KEN,594.5
KEQU,136.0
KFFB,233.5
KFY,655.5
KGC,736.0
KIQ,233.5
KIRK,233.5
KLAC,922.0
KMT,599.0
KMX,812.5
KNOP,412.0
KOSS,39.0
KPRX,80.5
KR,922.0
KRKR,136.0
KRNT,548.0
KRNY,412.0
KRUS,327.5
KSPN,63.5
KSS,680.0
KTCC,233.5
KTRA,33.5
KUKE,80.5
LAKE,233.5
LANC,734.0
LDOS,834.0
LE,412.0
LEDS,136.0
LEGN,779.0
LEV,327.5
LFVN,233.5
LGF.B,567.0
LGO,412.0
LHX,922.0
LI,844.0
LICY,479.5
LITB,233.5
LITE,681.0
LIZI,37.0
LNN,584.5
LOGI,799.0
LOOP,136.0
LOVE,412.0
LPG,412.0
LPL,3.0
LPTH,136.0
LRCX,922.0
LRN,557.5
LSAK,283.5
LSCC,795.5
LSPD,630.0
LTRX,233.5
LU,693.0
LULU,922.0
LW,815.0
LX,8.0
LYFT,730.0
LYTS,412.0
LZB,524.0
M,743.0
MANU,594.5
MASI,761.0
MAXN,476.0
MAYS,136.0
MBUU,524.0
MCFT,412.0
MCHP,922.0
MDNA,55.0
MDT,922.0
MEI,567.0
MEIP,183.0
MEOH,643.0
MESO,327.5
MFC,954.5
MFIC,412.0
MGA,862.0
MGLD,233.5
MICS,136.0
MIDD,772.5
MIND,136.0
MIXT,233.5
ML,58.0
MLAB,496.0
MLKN,297.0
MMAT,327.5
MMMB,136.0
MMYT,666.0
MNDO,233.5
MNDY,701.0
MNRO,544.0
MNSO,666.0
MOD,513.5
MOG.A,643.0
MOMO,524.0
MOV,412.0
MPAA,348.0
MRCY,650.5
MRVL,952.0
MSB,412.0
MSC,327.5
MSFT,922.0
MSGE,551.0
MSM,722.0
MSN,136.0
MTN,797.0
MTNB,136.0
MTRX,136.0
MTSI,722.0
MU,922.0
MVST,327.5
MXC,233.5
MYTE,485.0
NAII,233.5
NAPA,567.0
NCNO,666.0
NCPL,63.5
NEOG,562.0
NEPT,136.0
NETI,327.5
NEWP,327.5
NEWR,697.0
NEXA,412.0
NGD,412.0
NGL,233.5
NGMS,412.0
NICE,822.5
NICK,233.5
NIU,350.5
NKE,922.0
NKLA,551.0
NMG,327.5
NNOX,327.5
NNVC,33.5
NOA,412.0
NOMD,655.5
NRXP,33.5
NSSC,496.0
NTAP,851.5
NTCT,622.0
NTES,873.0
NTR,922.0
NTRB,136.0
NTWK,136.0
NVDA,950.0
NVEC,412.0
NVEE,611.0
NVGS,496.0
NVMI,622.0
NWG,954.5
NWSA,811.0
NXGN,533.5
NXPL,136.0
NXTP,136.0
OBE,412.0
OCFT,303.0
OCSL,533.5
ODC,26.5
OESX,233.5
OFED,233.5
OKTA,794.0
OLK,630.0
OLLI,674.5
ONCS,13.0
ONON,818.0
ONVO,80.5
OOMA,412.0
OPRA,327.5
OPTT,136.0
OR,611.0
OSIS,557.5
OTEX,777.0
OTLY,505.0
OXM,574.0
PAGS,715.0
PAHC,412.0
PANW,922.0
PAYX,922.0
PBFS,412.0
PBH,650.5
PCSB,412.0
PCTY,829.0
PCYG,233.5
PCYO,233.5
PD,603.0
PDCO,600.0
PDD,863.0
PDEX,233.5
PDS,513.5
PERI,513.5
PETS,412.0
PFGC,793.0
PG,922.0
PGRU,412.0
PGTI,524.0
PGY,293.0
PH,922.0
PHR,529.0
PINC,683.5
PKE,412.0
PKI,864.5
PKX,839.5
PL,551.0
PLAY,573.0
PLCE,412.0
PLUR,80.5
PLUS,544.0
PMCB,136.0
POWW,412.0
PPBT,136.0
PPIH,233.5
PRMW,611.0
PROV,233.5
PRQR,136.0
PRTG,136.0
PRTS,327.5
PSEC,655.5
PSFE,513.5
PSHG,80.5
PSMT,601.5
PSTG,795.5
PTN,58.0
PTON,700.0
PTRA,551.0
PVH,695.0
PXS,136.0
PYCR,727.0
PZG,136.0
QCOM,922.0
QD,6.0
QFIN,11.0
QGEN,805.0
QNST,412.0
QRVO,799.0
QUIK,136.0
RADA,412.0
RAMP,557.5
RAVE,42.0
RBC,775.0
RCAT,136.0
RCI,884.0
RCMT,233.5
RDCM,233.5
RDW,136.0
RDWR,485.0
REAX,283.5
REE,80.5
RELL,412.0
REPL,476.0
RERE,233.5
REX,412.0
RFL,136.0
RGP,412.0
RH,768.0
RKLB,619.5
RL,761.0
RLX,594.5
RMCF,233.5
RMD,922.0
RMR,412.0
RNLX,136.0
RNW,624.0
ROIV,692.0
ROK,922.0
ROST,922.0
RPM,822.5
RRX,788.0
RSKD,476.0
RSSS,136.0
RSVR,412.0
RVSB,233.5
RZLT,80.5
SAIC,746.0
SAND,496.0
SANM,683.5
SANW,136.0
SAP,922.0
SAR,299.0
SBIG,233.5
SCHL,533.5
SCHN,412.0
SCS,476.0
SCSC,412.0
SCVL,412.0
SCWX,412.0
SCX,233.5
SE,890.5
SEAC,233.5
SENEA,412.0
SFIX,327.5
SFM,666.0
SGH,412.0
SGHC,353.0
SGMA,233.5
SHOP,890.5
SHPW,80.5
SIG,650.5
SILC,412.0
SIOX,136.0
SISI,136.0
SITE,745.0
SJ,7.0
SJM,842.0
SKM,873.0
SKY,650.5
SLAB,722.0
SLF,956.5
SLGL,233.5
SLI,327.5
SLP,412.0
SLQT,63.5
SMAR,710.0
SMBC,412.0
SMCI,713.0
SMFR,327.5
SMIT,48.0
SMPL,683.5
SMR,630.0
SMTC,578.0
SMWB,327.5
SNA,822.5
SNOA,136.0
SNOW,890.5
SNPO,307.5
SOFI,740.0
SOHU,44.0
SONY,873.0
SOTK,233.5
SPNS,513.5
SPOT,859.0
SPTN,513.5
SPWH,412.0
SPWR,688.0
SQFT,183.0
SRAD,810.0
SRZN,58.0
SSY,136.0
STAA,648.0
STE,868.0
STEP,666.0
STKL,347.0
STNE,676.0
STNG,638.5
STRL,485.0
STRM,136.0
STRT,233.5
STVN,707.0
STX,812.5
STZ,922.0
SUM,666.0
SUMO,476.0
SUZ,838.0
SVM,412.0
SWBI,412.0
SWIR,513.5
SWK,822.5
SXI,533.5
SY,183.0
SYNA,707.0
SYTA,54.0
